Calendar Year,ACARA SML ID,AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name
2019,40259,22818,Sunrise Christian School Fullarton,FULLARTON,SA,5063,Independent,Primary,School Single Entity,Individual Reporting,-34.954499,138.621828,0,Major Cities,40215118100,40107102403,401071024,Unley - Parkside,40107,Unley,401,Adelaide - Central and Hills,47980,Unley (C)
2019,40299,7467,Port Neill Primary School,PORT NEILL,SA,5604,Government,Primary,School Single Entity,Individual Reporting,-34.11700739,136.3427703,3,Remote,40215054200,40601113009,406011130,Eyre Peninsula,40601,Eyre Peninsula and South West,406,South Australia - Outback,47910,Tumby Bay (DC)
2019,40309,6063,Thebarton Senior College,TORRENSVILLE,SA,5031,Government,Secondary,School Single Entity,Individual Reporting,-34.917275,138.562772,0,Major Cities,40210030000,40403110825,404031108,Richmond (SA),40403,West Torrens,404,Adelaide - West,48410,West Torrens (C)
2019,40314,16500,Kangaroo Island Community Education - Penneshaw Campus,PENNESHAW,SA,5222,Government,Combined,School Sub-Campus and Single entity,Rolled Reporting,-35.720872,137.931836,3,Remote,40215171700,40701114502,407011145,Kangaroo Island,40701,Fleurieu - Kangaroo Island,407,South Australia - South East,42750,Kangaroo Island (DC)
2019,40316,77487,OneSchool Global SA - Mount Gambier Campus,MOUNT GAMBIER,SA,5290,Independent,Combined,School Sub-Campus and Single entity,Rolled Reporting,-37.816856,140.796901,1,Inner Regional,40215201600,40702117312,407021173,Mount Gambier - East,40702,Limestone Coast,407,South Australia - South East,44620,Mount Gambier (C)
2019,40318,85516,Sunrise Christian School Marion,MARION,SA,5043,Independent,Combined,School Single Entity,Individual Reporting,-35.016798,138.557341,0,Major Cities,40215143300,40302106128,403021061,Mitchell Park,40302,Marion,403,Adelaide - South,44060,Marion (C)
2019,40356,285,Muirden Senior College,ADELAIDE,SA,5000,Independent,Secondary,School Single Entity,Individual Reporting,-34.933349,138.600554,0,Major Cities,40243830000,40101100138,401011001,Adelaide,40101,Adelaide City,401,Adelaide - Central and Hills,40070,Adelaide (C)
2019,40357,303,Sacred Heart College,SOMERTON PARK,SA,5044,Catholic,Combined,School Head Campus,Rolled Reporting,-34.996682,138.521367,0,Major Cities,40056570000,40301105711,403011057,Glenelg (SA),40301,Holdfast Bay,403,Adelaide - South,42600,Holdfast Bay (C)
2019,40421,6072,Northern Adelaide Senior College,ELIZABETH,SA,5112,Government,Secondary,School Single Entity,Individual Reporting,-34.71345547,138.6710182,0,Major Cities,40215073400,40202103001,402021030,Elizabeth,40202,Playford,402,Adelaide - North,45680,Playford (C)
2019,40422,6080,Marden Senior College,MARDEN,SA,5070,Government,Secondary,School Single Entity,Individual Reporting,-34.891954,138.63523,0,Major Cities,40214995700,40105101913,401051019,St Peters - Marden,40105,Norwood - Payneham - St Peters,401,Adelaide - Central and Hills,45290,Norwood Payneham St Peters (C)
2019,40423,6088,Edward John Eyre High School,WHYALLA NORRIE,SA,5608,Government,Secondary,School Single Entity,Individual Reporting,-33.026208,137.540961,2,Outer Regional,40217800000,40601113629,406011136,Whyalla,40601,Eyre Peninsula and South West,406,South Australia - Outback,48540,Whyalla (C)
2019,40424,6112,Central Yorke School - Point Pearce Campus,POINT PEARCE,SA,5573,Government,Combined,School Sub-Campus and Single entity,Rolled Reporting,-34.427855,137.504945,2,Outer Regional,40221861000,40504112702,405041127,Yorke Peninsula - North,40504,Yorke Peninsula,405,Barossa - Yorke - Mid North,48830,Yorke Peninsula (DC)
2019,40487,7473,Port Lincoln Junior Primary School,PORT LINCOLN,SA,5606,Government,Primary,School Single Entity,Individual Reporting,-34.724303,135.857806,3,Remote,40155530000,40601113319,406011133,Port Lincoln,40601,Eyre Peninsula and South West,406,South Australia - Outback,46300,Port Lincoln (C)
2019,40616,13764,Eynesbury Senior College,ADELAIDE,SA,5000,Independent,Secondary,School Single Entity,Individual Reporting,-34.92766368,138.598397,0,Major Cities,40001223000,40101100147,401011001,Adelaide,40101,Adelaide City,401,Adelaide - Central and Hills,40070,Adelaide (C)
2019,40660,30067,Youth Education Centre - Goldsborough Road Campus (Cavan),CAVAN,SA,5072,Government,Special,School Head Campus,Rolled Reporting,-34.828265,138.60253,0,Major Cities,40177851000,40204117207,402041172,Pooraka - Cavan,40204,Salisbury,402,Adelaide - North,47140,Salisbury (C)
2019,40683,17078,Australian Science and Mathematics School,BEDFORD PARK,SA,5042,Government,Secondary,School Single Entity,Individual Reporting,-35.024872,138.573379,0,Major Cities,40085361000,40303106604,403031066,Bellevue Heights,40303,Mitcham,403,Adelaide - South,44340,Mitcham (C)
2019,40700,17619,University Senior College at Adelaide University,ADELAIDE UNIVERSITY,SA,5005,Independent,Secondary,School Head Campus,Rolled Reporting,-34.917855,138.601817,0,Major Cities,40002610000,40101100111,401011001,Adelaide,40101,Adelaide City,401,Adelaide - Central and Hills,40070,Adelaide (C)
2019,40783,26750,St Patrick's Technical College,EDINBURGH NORTH,SA,5113,Catholic,Secondary,School Single Entity,Individual Reporting,-34.710863,138.664167,0,Major Cities,40215233000,40202102922,402021029,Davoren Park,40202,Playford,402,Adelaide - North,45680,Playford (C)
2019,40798,27319,Cardijn College - Marcellin Technical Campus,CHRISTIE DOWNS,SA,5164,Catholic,Secondary,School Sub-Campus and Single entity,Rolled Reporting,-35.137418,138.491643,0,Major Cities,40117819000,40304107320,403041073,Christie Downs,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,40861,77041,St Joseph's Memorial School - Junior Primary Campus,KENSINGTON,SA,5068,Catholic,Primary,School Sub-Campus and Single entity,Rolled Reporting,-34.924045,138.645992,0,Major Cities,40107610000,40105101722,401051017,Norwood (SA),40105,Norwood - Payneham - St Peters,401,Adelaide - Central and Hills,45290,Norwood Payneham St Peters (C)
2019,40887,77239,Saint Ignatius' College - Junior School Campus,ATHELSTONE,SA,5076,Catholic,Combined,School Sub-Campus and Single entity,Rolled Reporting,-34.877182,138.697399,0,Major Cities,40108080000,40105101714,401051017,Norwood (SA),40105,Norwood - Payneham - St Peters,401,Adelaide - Central and Hills,45290,Norwood Payneham St Peters (C)
2019,40889,77249,St George College - Junior Campus,MILE END,SA,5031,Independent,Combined,School Sub-Campus and Single entity,Rolled Reporting,-34.922038,138.572809,0,Major Cities,40215097300,40403110805,404031108,Richmond (SA),40403,West Torrens,404,Adelaide - West,48410,West Torrens (C)
2019,40893,77278,St Michael's College - Primary Campus,BEVERLEY,SA,5009,Catholic,Combined,School Sub-Campus and Single entity,Rolled Reporting,-34.899831,138.550873,0,Major Cities,40036000000,40401109001,404011090,Beverley,40401,Charles Sturt,404,Adelaide - West,41060,Charles Sturt (C)
2019,40915,77394,St Mark's College - Benedict Campus,PORT PIRIE,SA,5540,Catholic,Combined,School Sub-Campus and Single entity,Rolled Reporting,-33.186266,138.01058,2,Outer Regional,40157070000,40503112203,405031122,Port Pirie,40503,Mid North,405,Barossa - Yorke - Mid North,46450,Port Pirie City and Dists (M)
2019,40939,77497,Trinity College Senior,EVANSTON SOUTH,SA,5116,Independent,Secondary,School Single Entity,Individual Reporting,-34.63298246,138.7344424,0,Major Cities,40215032400,40201102648,402011026,Gawler - South,40201,Gawler - Two Wells,402,Adelaide - North,42030,Gawler (T)
2019,40956,77540,Samaritan College - Our Lady Help of Christians Campus,WHYALLA STUART,SA,5608,Catholic,Combined,School Sub-Campus and Single entity,Rolled Reporting,-33.024309,137.528464,2,Outer Regional,40217620000,40601113659,406011136,Whyalla,40601,Eyre Peninsula and South West,406,South Australia - Outback,48540,Whyalla (C)
2019,40957,77541,Samaritan College - St Teresa's Campus,WHYALLA,SA,5600,Catholic,Combined,School Sub-Campus and Single entity,Rolled Reporting,-33.037145,137.583721,2,Outer Regional,40216720000,40601113645,406011136,Whyalla,40601,Eyre Peninsula and South West,406,South Australia - Outback,48540,Whyalla (C)
2019,40960,77545,Nazareth Catholic College - Secondary Campus,FLINDERS PARK,SA,5025,Catholic,Combined,School Sub-Campus and Single entity,Rolled Reporting,-34.911847,138.546795,0,Major Cities,40037380000,40401109117,404011091,Flinders Park,40401,Charles Sturt,404,Adelaide - West,41060,Charles Sturt (C)
2019,40966,77560,Pinnacle College - Elizabeth East Campus,ELIZABETH EAST,SA,5112,Independent,Combined,School Head Campus,Rolled Reporting,-34.721678,138.677943,0,Major Cities,40132480000,40202103121,402021031,Elizabeth East,40202,Playford,402,Adelaide - North,45680,Playford (C)
2019,40986,28847,John Hartley School (B-7),SMITHFIELD PLAINS,SA,5114,Government,Primary,School Single Entity,Individual Reporting,-34.680413,138.673586,0,Major Cities,40136560000,40202102916,402021029,Davoren Park,40202,Playford,402,Adelaide - North,45680,Playford (C)
2019,49151,6988,Coromandel Valley Primary School,COROMANDEL VALLEY,SA,5051,Government,Primary,School Single Entity,Individual Reporting,-35.033562,138.626758,0,Major Cities,40084760000,40304107610,403041076,Coromandel Valley,40304,Onkaparinga,403,Adelaide - South,44340,Mitcham (C)
2019,49152,6944,Cowandilla Primary School,COWANDILLA,SA,5033,Government,Primary,School Single Entity,Individual Reporting,-34.93416,138.559877,0,Major Cities,40208030000,40403110832,404031108,Richmond (SA),40403,West Torrens,404,Adelaide - West,48410,West Torrens (C)
2019,49153,7170,Crafers Primary School,CRAFERS,SA,5152,Government,Primary,School Single Entity,Individual Reporting,-34.993387,138.71348,0,Major Cities,40005300000,40102100415,401021004,Aldgate - Stirling,40102,Adelaide Hills,401,Adelaide - Central and Hills,40120,Adelaide Hills (DC)
2019,49154,14911,Crystal Brook Primary School,CRYSTAL BROOK,SA,5523,Government,Primary,School Single Entity,Individual Reporting,-33.352948,138.213543,2,Outer Regional,40215048000,40503112301,405031123,Port Pirie Region,40503,Mid North,405,Barossa - Yorke - Mid North,46450,Port Pirie City and Dists (M)
2019,49155,7457,Curramulka Primary School,CURRAMULKA,SA,5580,Government,Primary,School Single Entity,Individual Reporting,-34.695502,137.713697,2,Outer Regional,40220860000,40504112717,405041127,Yorke Peninsula - North,40504,Yorke Peninsula,405,Barossa - Yorke - Mid North,48830,Yorke Peninsula (DC)
2019,49156,7133,Murray Bridge Special School,MURRAY BRIDGE,SA,5253,Government,Special,School Single Entity,Individual Reporting,-35.116966,139.271426,1,Inner Regional,40100590000,40703116511,407031165,Murray Bridge,40703,Murray and Mallee,407,South Australia - South East,45040,Murray Bridge (RC)
2019,49157,6566,Gilles Street Primary School,ADELAIDE,SA,5000,Government,Primary,School Single Entity,Individual Reporting,-34.93449,138.604464,0,Major Cities,40003240000,40101100144,401011001,Adelaide,40101,Adelaide City,401,Adelaide - Central and Hills,40070,Adelaide (C)
2019,49159,7172,Echunga Primary School,ECHUNGA,SA,5153,Government,Primary,School Single Entity,Individual Reporting,-35.09763397,138.7913935,1,Inner Regional,40094782000,40102100509,401021005,Hahndorf - Echunga,40102,Adelaide Hills,401,Adelaide - Central and Hills,44550,Mount Barker (DC)
2019,49160,6986,Eden Hills Primary School,EDEN HILLS,SA,5050,Government,Primary,School Single Entity,Individual Reporting,-35.020546,138.595317,0,Major Cities,40087390000,40303106605,403031066,Bellevue Heights,40303,Mitcham,403,Adelaide - South,44340,Mitcham (C)
2019,49162,6954,Edwardstown Primary School,MELROSE PARK,SA,5039,Government,Primary,School Single Entity,Individual Reporting,-34.978729,138.57801,0,Major Cities,40091350000,40303106804,403031068,Colonel Light Gardens,40303,Mitcham,403,Adelaide - South,44340,Mitcham (C)
2019,49163,16473,Elliston Area School,ELLISTON,SA,5670,Government,Combined,School Single Entity,Individual Reporting,-33.644153,134.892451,4,Very Remote,40215271200,40601113206,406011132,Le Hunte - Elliston,40601,Eyre Peninsula and South West,406,South Australia - Outback,41750,Elliston (DC)
2019,49164,7010,Norwood Primary School,NORWOOD,SA,5067,Government,Primary,School Single Entity,Individual Reporting,-34.922403,138.63167,0,Major Cities,40106430000,40105101711,401051017,Norwood (SA),40105,Norwood - Payneham - St Peters,401,Adelaide - Central and Hills,45290,Norwood Payneham St Peters (C)
2019,49165,6936,Flinders Park Primary School,FLINDERS PARK,SA,5025,Government,Primary,School Single Entity,Individual Reporting,-34.91064,138.548871,0,Major Cities,40036480000,40401109114,404011091,Flinders Park,40401,Charles Sturt,404,Adelaide - West,41060,Charles Sturt (C)
2019,49166,7249,Lenswood Primary School,LENSWOOD,SA,5240,Government,Primary,School Single Entity,Individual Reporting,-34.922274,138.823468,1,Inner Regional,40215317500,40102100603,401021006,Lobethal - Woodside,40102,Adelaide Hills,401,Adelaide - Central and Hills,40120,Adelaide Hills (DC)
2019,49167,7274,Frances Primary School,FRANCES,SA,5262,Government,Primary,School Single Entity,Individual Reporting,-36.70864019,140.9568418,2,Outer Regional,40101750000,40702115506,407021155,Naracoorte Region,40702,Limestone Coast,407,South Australia - South East,45090,Naracoorte and Lucindale (DC)
2019,49168,7370,Freeling Primary School,FREELING,SA,5372,Government,Primary,School Single Entity,Individual Reporting,-34.457842,138.811414,1,Inner Regional,40065631000,40501111104,405011111,Light,40501,Barossa,405,Barossa - Yorke - Mid North,43650,Light (RegC)
2019,49169,7161,Gawler Primary School,GAWLER,SA,5118,Government,Primary,School Single Entity,Individual Reporting,-34.597541,138.740692,0,Major Cities,40052030000,40201102606,402011026,Gawler - South,40201,Gawler - Two Wells,402,Adelaide - North,42030,Gawler (T)
2019,49170,7156,Evanston Gardens Primary School,EVANSTON GARDENS,SA,5116,Government,Primary,School Single Entity,Individual Reporting,-34.623986,138.720025,0,Major Cities,40215298200,40201102655,402011026,Gawler - South,40201,Gawler - Two Wells,402,Adelaide - North,42030,Gawler (T)
2019,49172,7323,Geranium Primary School,GERANIUM,SA,5301,Government,Primary,School Single Entity,Individual Reporting,-35.379478,140.160128,2,Outer Regional,40179050000,40703116104,407031161,Karoonda - Lameroo,40703,Murray and Mallee,407,South Australia - South East,47290,Southern Mallee (DC)
2019,49174,7412,Gladstone Primary School,GLADSTONE,SA,5473,Government,Primary,School Single Entity,Individual Reporting,-33.266137,138.350584,2,Outer Regional,40103530000,40503112012,405031120,Jamestown,40503,Mid North,405,Barossa - Yorke - Mid North,45120,Northern Areas (DC)
2019,49175,7316,Glenburnie Primary School,GLENBURNIE,SA,5291,Government,Primary,School Single Entity,Individual Reporting,-37.84041,140.863876,2,Outer Regional,40053732000,40702117323,407021173,Mount Gambier - East,40702,Limestone Coast,407,South Australia - South East,42250,Grant (DC)
2019,49176,7002,Glen Osmond Primary School,MYRTLE BANK,SA,5064,Government,Primary,School Single Entity,Individual Reporting,-34.957051,138.637255,0,Major Cities,40197000000,40107102422,401071024,Unley - Parkside,40107,Unley,401,Adelaide - Central and Hills,47980,Unley (C)
2019,49177,7346,Glossop Primary Community School K-7,GLOSSOP,SA,5344,Government,Primary,School Single Entity,Individual Reporting,-34.271342,140.524768,2,Outer Regional,40017340000,40703115904,407031159,Barmera,40703,Murray and Mallee,407,South Australia - South East,40520,Berri and Barmera (DC)
2019,49178,6946,Goodwood Primary School,GOODWOOD,SA,5034,Government,Primary,School Single Entity,Individual Reporting,-34.951478,138.588905,0,Major Cities,40199390000,40107102322,401071023,Goodwood - Millswood,40107,Unley,401,Adelaide - Central and Hills,47980,Unley (C)
2019,49179,7237,Goolwa Primary School,GOOLWA,SA,5214,Government,Primary,School Single Entity,Individual Reporting,-35.497553,138.780252,1,Inner Regional,40009690000,40701114410,407011144,Goolwa - Port Elliot,40701,Fleurieu - Kangaroo Island,407,South Australia - South East,40220,Alexandrina (DC)
2019,49181,7367,Greenock Primary School,GREENOCK,SA,5360,Government,Primary,School Single Entity,Individual Reporting,-34.459939,138.921793,1,Inner Regional,40065572000,40501111118,405011111,Light,40501,Barossa,405,Barossa - Yorke - Mid North,43650,Light (RegC)
2019,49182,7242,Gumeracha Primary School,GUMERACHA,SA,5233,Government,Primary,School Single Entity,Individual Reporting,-34.824981,138.880956,1,Inner Regional,40007240000,40102100315,401021003,Adelaide Hills,40102,Adelaide Hills,401,Adelaide - Central and Hills,40120,Adelaide Hills (DC)
2019,49183,7255,Hahndorf Primary School,HAHNDORF,SA,5245,Government,Primary,School Single Entity,Individual Reporting,-35.027474,138.810676,1,Inner Regional,40215116600,40102100513,401021005,Hahndorf - Echunga,40102,Adelaide Hills,401,Adelaide - Central and Hills,44550,Mount Barker (DC)
2019,49184,7376,Hamley Bridge Primary School,HAMLEY BRIDGE,SA,5401,Government,Primary,School Single Entity,Individual Reporting,-34.354549,138.684929,1,Inner Regional,40203160000,40502111927,405021119,Wakefield - Barunga West,40502,Lower North,405,Barossa - Yorke - Mid North,48130,Wakefield (DC)
2019,49185,7011,Rose Park Primary School,ROSE PARK,SA,5067,Government,Primary,School Single Entity,Individual Reporting,-34.93161,138.628893,0,Major Cities,40215045100,40103101315,401031013,Toorak Gardens,40103,Burnside,401,Adelaide - Central and Hills,40700,Burnside (C)
2019,49186,7192,Happy Valley Primary School,HAPPY VALLEY,SA,5159,Government,Primary,School Single Entity,Individual Reporting,-35.086923,138.583583,0,Major Cities,40126210000,40304108025,403041080,Happy Valley,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49187,7394,Hawker Area School,HAWKER,SA,5434,Government,Combined,School Single Entity,Individual Reporting,-31.89042,138.427892,2,Outer Regional,40215179000,40602114007,406021140,Quorn - Lake Gilles,40602,Outback - North and East,406,South Australia - Outback,41830,Flinders Ranges (DC)
2019,49188,7174,Heathfield Primary School,HEATHFIELD,SA,5153,Government,Primary,School Single Entity,Individual Reporting,-35.029961,138.727279,0,Major Cities,40004930000,40102100426,401021004,Aldgate - Stirling,40102,Adelaide Hills,401,Adelaide - Central and Hills,40120,Adelaide Hills (DC)
2019,49189,6920,Henley Beach Primary School,HENLEY BEACH SOUTH,SA,5022,Government,Primary,School Single Entity,Individual Reporting,-34.929734,138.499429,0,Major Cities,40033560000,40401109228,404011092,Henley Beach,40401,Charles Sturt,404,Adelaide - West,41060,Charles Sturt (C)
2019,49191,6886,North Adelaide Primary School,NORTH ADELAIDE,SA,5006,Government,Primary,School Single Entity,Individual Reporting,-34.905096,138.597558,0,Major Cities,40215276200,40101100211,401011002,North Adelaide,40101,Adelaide City,401,Adelaide - Central and Hills,40070,Adelaide (C)
2019,49193,7270,Jervois Primary School,JERVOIS,SA,5259,Government,Primary,School Single Entity,Individual Reporting,-35.266177,139.437094,1,Inner Regional,40101480000,40703116602,407031166,Murray Bridge Region,40703,Murray and Mallee,407,South Australia - South East,45040,Murray Bridge (RC)
2019,49195,7297,Kalangadoo Primary School,KALANGADOO,SA,5278,Government,Primary,School Single Entity,Individual Reporting,-37.56535658,140.6955608,2,Outer Regional,40215059700,40702115601,407021156,Penola,40702,Limestone Coast,407,South Australia - South East,48340,Wattle Range (DC)
2019,49196,7183,Kangarilla Primary School,KANGARILLA,SA,5157,Government,Primary,School Single Entity,Individual Reporting,-35.147815,138.659484,1,Inner Regional,40111870000,40304107504,403041075,Clarendon,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49197,7372,Kapunda Primary School,KAPUNDA,SA,5373,Government,Primary,School Single Entity,Individual Reporting,-34.337884,138.918053,1,Inner Regional,40215315100,40501111119,405011111,Light,40501,Barossa,405,Barossa - Yorke - Mid North,43650,Light (RegC)
2019,49198,6905,Alberton Primary School,QUEENSTOWN,SA,5014,Government,Primary,School Single Entity,Individual Reporting,-34.862679,138.512645,0,Major Cities,40215283600,40402110113,404021101,Port Adelaide,40402,Port Adelaide - West,404,Adelaide - West,45890,Port Adelaide Enfield (C)
2019,49199,7240,Kersbrook Primary School,KERSBROOK,SA,5231,Government,Primary,School Single Entity,Individual Reporting,-34.782369,138.849721,1,Inner Regional,40007340000,40102100306,401021003,Adelaide Hills,40102,Adelaide Hills,401,Adelaide - Central and Hills,40120,Adelaide Hills (DC)
2019,49200,7358,Keyneton Primary School,KEYNETON,SA,5353,Government,Primary,School Single Entity,Individual Reporting,-34.554333,139.1338,1,Inner Regional,40082461000,40703116407,407031164,Mannum,40703,Murray and Mallee,407,South Australia - South East,44210,Mid Murray (DC)
2019,49202,6893,Kilkenny Primary School,WEST CROYDON,SA,5008,Government,Primary,School Single Entity,Individual Reporting,-34.890875,138.552927,0,Major Cities,40040950000,40401109335,404011093,Hindmarsh - Brompton,40401,Charles Sturt,404,Adelaide - West,41060,Charles Sturt (C)
2019,49203,7333,Kingston-on-Murray Primary School,KINGSTON ON MURRAY,SA,5331,Government,Primary,School Single Entity,Individual Reporting,-34.222619,140.346866,2,Outer Regional,40215309700,40703116303,407031163,Loxton Region,40703,Murray and Mallee,407,South Australia - South East,43790,Loxton Waikerie (DC)
2019,49204,7178,Aldgate Primary School,ALDGATE,SA,5154,Government,Primary,School Single Entity,Individual Reporting,-35.019502,138.748939,0,Major Cities,40004570000,40102100427,401021004,Aldgate - Stirling,40102,Adelaide Hills,401,Adelaide - Central and Hills,40120,Adelaide Hills (DC)
2019,49205,7318,Kongorong Primary School,KONGORONG,SA,5291,Government,Primary,School Single Entity,Individual Reporting,-37.902247,140.561148,2,Outer Regional,40054590000,40702115010,407021150,Grant,40702,Limestone Coast,407,South Australia - South East,42250,Grant (DC)
2019,49206,7407,Koolunga Primary School,KOOLUNGA,SA,5464,Government,Primary,School Single Entity,Individual Reporting,-33.580835,138.335026,2,Outer Regional,40159520000,40503112304,405031123,Port Pirie Region,40503,Mid North,405,Barossa - Yorke - Mid North,46450,Port Pirie City and Dists (M)
2019,49207,16497,Mid North Education Centre,PORT PIRIE,SA,5540,Government,Special,School Single Entity,Individual Reporting,-33.17503,138.005415,2,Outer Regional,40157110000,40503112203,405031122,Port Pirie,40503,Mid North,405,Barossa - Yorke - Mid North,46450,Port Pirie City and Dists (M)
2019,49208,23685,Eastern Fleurieu R-12 School - Langhorne Creek R-6 Campus,LANGHORNE CREEK,SA,5255,Government,Combined,School Sub-Campus and Single entity,Rolled Reporting,-35.296558,139.036435,1,Inner Regional,40011730000,40701114704,407011147,Strathalbyn Region,40701,Fleurieu - Kangaroo Island,407,South Australia - South East,40220,Alexandrina (DC)
2019,49209,6911,Largs Bay School,LARGS BAY,SA,5016,Government,Primary,School Single Entity,Individual Reporting,-34.823666,138.494282,0,Major Cities,40215085700,40402109910,404021099,Largs Bay - Semaphore,40402,Port Adelaide - West,404,Adelaide - West,45890,Port Adelaide Enfield (C)
2019,49210,7414,Laura Primary School,LAURA,SA,5480,Government,Primary,School Single Entity,Individual Reporting,-33.18682857,138.3044946,2,Outer Regional,40103380000,40503112013,405031120,Jamestown,40503,Mid North,405,Barossa - Yorke - Mid North,45120,Northern Areas (DC)
2019,49211,6909,Le Fevre Peninsula Primary School,BIRKENHEAD,SA,5015,Government,Primary,School Single Entity,Individual Reporting,-34.840072,138.495412,0,Major Cities,40148080000,40402109907,404021099,Largs Bay - Semaphore,40402,Port Adelaide - West,404,Adelaide - West,45890,Port Adelaide Enfield (C)
2019,49212,7131,Aldinga Beach B-7 School,ALDINGA,SA,5173,Government,Primary,School Single Entity,Individual Reporting,-35.269294,138.461896,0,Major Cities,40121840000,40304107218,403041072,Aldinga,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49213,7362,Light Pass Primary School,LIGHT PASS,SA,5355,Government,Primary,School Single Entity,Individual Reporting,-34.46919,139.025019,1,Inner Regional,40013450000,40501111401,405011114,Nuriootpa,40501,Barossa,405,Barossa - Yorke - Mid North,40310,Barossa (DC)
2019,49214,7256,Littlehampton Primary School,LITTLEHAMPTON,SA,5250,Government,Primary,School Single Entity,Individual Reporting,-35.049417,138.868095,1,Inner Regional,40214988200,40102100714,401021007,Mount Barker,40102,Adelaide Hills,401,Adelaide - Central and Hills,44550,Mount Barker (DC)
2019,49215,7250,Lobethal Primary School,LOBETHAL,SA,5241,Government,Primary,School Single Entity,Individual Reporting,-34.901735,138.871761,1,Inner Regional,40008020000,40102100601,401021006,Lobethal - Woodside,40102,Adelaide Hills,401,Adelaide - Central and Hills,40120,Adelaide Hills (DC)
2019,49216,7490,Lock Area School,LOCK,SA,5633,Government,Combined,School Single Entity,Individual Reporting,-33.567298,135.754637,3,Remote,40049260000,40601113204,406011132,Le Hunte - Elliston,40601,Eyre Peninsula and South West,406,South Australia - Outback,41750,Elliston (DC)
2019,49217,6941,Lockleys Primary School,BROOKLYN PARK,SA,5032,Government,Primary,School Single Entity,Individual Reporting,-34.930203,138.535095,0,Major Cities,40214850000,40403110603,404031106,Lockleys,40403,West Torrens,404,Adelaide - West,48410,West Torrens (C)
2019,49219,7353,Lyndoch Primary School,LYNDOCH,SA,5351,Government,Primary,School Single Entity,Individual Reporting,-34.60554,138.885678,1,Inner Regional,40014842000,40501111207,405011112,Lyndoch,40501,Barossa,405,Barossa - Yorke - Mid North,40310,Barossa (DC)
2019,49221,7175,Macclesfield Primary School,MACCLESFIELD,SA,5153,Government,Primary,School Single Entity,Individual Reporting,-35.171315,138.83847,1,Inner Regional,40095230000,40102100814,401021008,Mount Barker Region,40102,Adelaide Hills,401,Adelaide - Central and Hills,44550,Mount Barker (DC)
2019,49223,7426,Mallala Primary School,MALLALA,SA,5502,Government,Primary,School Single Entity,Individual Reporting,-34.43456,138.510526,1,Inner Regional,40069880000,40501111302,405011113,Mallala,40501,Barossa,405,Barossa - Yorke - Mid North,43920,Mallala (DC)
2019,49224,7356,Angaston Primary School,ANGASTON,SA,5353,Government,Primary,School Single Entity,Individual Reporting,-34.499092,139.050833,1,Inner Regional,40215120600,40501111009,405011110,Barossa - Angaston,40501,Barossa,405,Barossa - Yorke - Mid North,40310,Barossa (DC)
2019,49225,7381,Manoora Primary School,MANOORA,SA,5414,Government,Primary,School Single Entity,Individual Reporting,-34.006284,138.814121,1,Inner Regional,40045121000,40502111707,405021117,Gilbert Valley,40502,Lower North,405,Barossa - Yorke - Mid North,41140,Clare and Gilbert Valleys (DC)
2019,49226,7513,Marree Aboriginal School,MARREE,SA,5733,Government,Combined,School Single Entity,Individual Reporting,-29.649185,138.061054,4,Very Remote,40227080000,40602114107,406021141,Outback,40602,Outback - North and East,406,South Australia - Outback,49399,Unincorporated SA
2019,49227,7013,Marryatville Primary School,KENSINGTON,SA,5068,Government,Primary,School Single Entity,Individual Reporting,-34.924542,138.649185,0,Major Cities,40106200000,40105101722,401051017,Norwood (SA),40105,Norwood - Payneham - St Peters,401,Adelaide - Central and Hills,45290,Norwood Payneham St Peters (C)
2019,49228,7223,McLaren Flat Primary School,MCLAREN FLAT,SA,5171,Government,Primary,School Single Entity,Individual Reporting,-35.206114,138.587248,1,Inner Regional,40111500000,40304108307,403041083,McLaren Vale,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49229,7224,McLaren Vale Primary School,MCLAREN VALE,SA,5171,Government,Primary,School Single Entity,Individual Reporting,-35.211655,138.531438,0,Major Cities,40111900000,40304108301,403041083,McLaren Vale,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49230,7228,Meadows Primary School,MEADOWS,SA,5201,Government,Primary,School Single Entity,Individual Reporting,-35.180498,138.761924,1,Inner Regional,40215178700,40102100823,401021008,Mount Barker Region,40102,Adelaide Hills,401,Adelaide - Central and Hills,44550,Mount Barker (DC)
2019,49231,7419,Melrose Primary School,MELROSE,SA,5483,Government,Primary,School Single Entity,Individual Reporting,-32.823832,138.187995,2,Outer Regional,40215095400,40503112113,405031121,Peterborough - Mount Remarkable,40503,Mid North,405,Barossa - Yorke - Mid North,44830,Mount Remarkable (DC)
