Calendar Year,ACARA SML ID,AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name
2019,49787,391,Prescott College,PROSPECT,SA,5082,Independent,Secondary,School Single Entity,Individual Reporting,-34.89232523,138.5966399,0,Major Cities,40215097600,40106102118,401061021,Prospect,40106,Prospect - Walkerville,401,Adelaide - Central and Hills,46510,Prospect (C)
2019,49788,14653,Heritage College,OAKDEN,SA,5086,Independent,Combined,School Single Entity,Individual Reporting,-34.852418,138.640582,0,Major Cities,40139460000,40203103713,402031037,Northgate - Oakden - Gilles Plains,40203,Port Adelaide - East,402,Adelaide - North,45890,Port Adelaide Enfield (C)
2019,49789,2630,Crossways Lutheran School,CEDUNA,SA,5690,Independent,Combined,School Single Entity,Individual Reporting,-32.135305,133.676981,4,Very Remote,40215122600,40601112906,406011129,Ceduna,40601,Eyre Peninsula and South West,406,South Australia - Outback,41010,Ceduna (DC)
2019,49790,4059,Calvary Lutheran Primary School,MORPHETT VALE,SA,5162,Independent,Primary,School Single Entity,Individual Reporting,-35.136467,138.510797,0,Major Cities,40112670000,40304108513,403041085,Morphett Vale - West,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49791,4038,The Hills Christian Community School - Verdun Campus,VERDUN,SA,5245,Independent,Combined,School Head Campus,Rolled Reporting,-35.011201,138.787052,1,Inner Regional,40007441000,40102100618,401021006,Lobethal - Woodside,40102,Adelaide Hills,401,Adelaide - Central and Hills,40120,Adelaide Hills (DC)
2019,49792,4040,Temple Christian College,MILE END,SA,5031,Independent,Combined,School Head Campus,Rolled Reporting,-34.92290832,138.5790301,0,Major Cities,40207440000,40403110835,404031108,Richmond (SA),40403,West Torrens,404,Adelaide - West,48410,West Torrens (C)
2019,49793,15944,Concordia College,HIGHGATE,SA,5063,Independent,Combined,School Head Campus,Rolled Reporting,-34.959761,138.618183,0,Major Cities,40214958000,40107102450,401071024,Unley - Parkside,40107,Unley,401,Adelaide - Central and Hills,47980,Unley (C)
2019,49794,13508,Tyndale Christian School Strathalbyn,STRATHALBYN,SA,5255,Independent,Combined,School Single Entity,Individual Reporting,-35.2546,138.898,1,Inner Regional,40215128100,40701114612,407011146,Strathalbyn,40701,Fleurieu - Kangaroo Island,407,South Australia - South East,40220,Alexandrina (DC)
2019,49795,13281,Woodcroft College,MORPHETT VALE,SA,5162,Independent,Combined,School Single Entity,Individual Reporting,-35.113848,138.543969,0,Major Cities,40114840000,40304108415,403041084,Morphett Vale - East,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49796,13279,Southern Montessori School,O'SULLIVAN BEACH,SA,5166,Independent,Combined,School Head Campus,Rolled Reporting,-35.1251798,138.4789218,0,Major Cities,40117470000,40304107401,403041074,Christies Beach,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49797,13280,Sunrise Christian School Whyalla,WHYALLA NORRIE,SA,5608,Independent,Combined,School Single Entity,Individual Reporting,-33.04169572,137.5377188,2,Outer Regional,40214991000,40601113649,406011136,Whyalla,40601,Eyre Peninsula and South West,406,South Australia - Outback,48540,Whyalla (C)
2019,49798,17262,Cornerstone College,MOUNT BARKER,SA,5251,Independent,Secondary,School Single Entity,Individual Reporting,-35.06023135,138.8548381,1,Inner Regional,40093780000,40102100708,401021007,Mount Barker,40102,Adelaide Hills,401,Adelaide - Central and Hills,44550,Mount Barker (DC)
2019,49799,263,Immanuel Primary School,NOVAR GARDENS,SA,5040,Independent,Primary,School Single Entity,Individual Reporting,-34.971648,138.534865,0,Major Cities,40211760000,40403110720,404031107,Plympton,40403,West Torrens,404,Adelaide - West,48410,West Torrens (C)
2019,49800,17260,Immanuel College,NOVAR GARDENS,SA,5040,Independent,Secondary,School Single Entity,Individual Reporting,-34.970855,138.535954,0,Major Cities,40211760000,40403110720,404031107,Plympton,40403,West Torrens,404,Adelaide - West,48410,West Torrens (C)
